timestamp,label,cycle,step,from_model,to_model,vram_before_stop_mib,vram_after_stop_mib,vram_released_mib,stop_duration_s,load_duration_s,total_duration_s,swap_total_wait_s,vram_peak_during_run_mib,vram_avg_during_run_mib,gpu_util_peak_pct,gpu_util_avg_pct,eval_rate_tps,note
2026-08-03T14:20:38,スワップ総当たり_Phi4常駐時,1,1,,gemma4:26b,1700,1700,0,,19.0096766,29.0412891,,15600,11041.1,50,19.6,85.58,初回ロード(スワップなし)
2026-08-03T14:20:53,スワップ総当たり_Phi4常駐時,1,2,gemma4:26b,gpt-oss:20b,15599,1414,14185,2.005,9.2638288,11.8432429,11.269,13897,10896.5,87,18.1,151.32,
2026-08-03T14:21:09,スワップ総当たり_Phi4常駐時,1,3,gpt-oss:20b,devstral-small-2:24b,13897,1420,12477,1.919,10.0787328,13.5525518,11.998,15586,11772.3,52,16.4,30.25,
2026-08-03T14:21:37,スワップ総当たり_Phi4常駐時,1,4,devstral-small-2:24b,gemma4:26b,15585,1336,14249,1.903,17.8276026,25.964759,19.73,15622,11075.3,48,15.0,82.99,
2026-08-03T14:21:38,スワップ総当たり_Phi4常駐時,-,-,gemma4:26b,(全停止・リーク確認),15613,1359,14254,0.968,,,,,,,,,開始前アイドルVRAM 1700MiB → 全スワップ終了後アイドルVRAM 1359MiB(差分 -341.0MiB)
